,user,latitude,longitude
114,User_4511,-27.615753,-48.524803999999996
115,User_1489,-7.178358,-34.868776000000004
116,User_4574,-23.428541,-46.482996
117,User_4408,2.8144099999999996,-60.753330000000005
118,User_3402,-3.119051,-60.00526800000001
119,User_4968,-23.587260999999998,-48.044039
120,User_3851,-22.733099,-43.467166
121,User_1085,-23.458725,-47.464515999999996
122,User_1210,-25.350762,-49.212467
123,User_5963,-25.411112,-49.349583
124,User_4408,-23.026014,-45.55422
125,User_3118,-26.308303000000002,-48.837196
126,User_2911,-21.631839000000003,-41.019794
127,User_3212,-22.817798,-43.357673999999996
128,User_1489,-29.713549,-53.812915000000004
129,User_4354,-3.040807,-59.977382999999996
130,User_5203,-12.997444,-38.453065
131,User_1820,-23.603776999999997,-46.694356
132,User_3397,-18.864359,-41.967616
133,User_423,-23.182529000000002,-45.885113
134,User_4834,-23.682081,-46.657337
135,User_3849,-15.828066,-48.012657
136,User_3388,-25.494106,-49.100169
137,User_4959,-14.422756,-44.364885
138,User_67,-22.818622,-43.293708
139,User_2163,-1.452322,-48.500538
140,User_4281,-26.899548,-48.688702
141,User_5960,-23.237345,-45.896933000000004
142,User_5217,-20.141378,-44.893443
143,User_4521,-9.664809,-35.738631
144,User_80,-29.62565,-51.137169
145,User_271,-23.557972,-46.650676000000004
146,User_4985,-20.761779999999998,-42.866731
147,User_4888,-25.080941,-50.178894
148,User_4595,-7.793197999999999,-35.587740999999994
149,User_2484,-22.969174,-43.41408
150,User_5944,-3.786226,-38.62907
151,User_3858,-8.992971,-35.203268
152,User_5505,-22.856068,-47.159690999999995
153,User_4903,-22.913145,-47.063280999999996
154,User_3352,-20.781397,-49.367865
155,User_4098,-16.672075,-49.223082
156,User_5214,-5.667497,-37.801364
157,User_5725,-19.918267,-43.938108
158,User_2756,-23.677731,-46.856321
159,User_2743,-22.892413,-47.026265
160,User_1428,-15.608143,-56.057104
161,User_2255,-22.271221,-48.559614
162,User_4555,-4.751829,-40.830711
163,User_2983,-7.118953,-34.889984000000005
164,User_354,-23.634025,-46.686965
165,User_3677,-9.737648,-36.677688
166,User_5794,-22.885215,-47.081990000000005
167,User_5549,-16.684115,-49.35881
168,User_1295,-2.5727860000000002,-44.2339
169,User_2071,-15.848459,-48.040038
170,User_4903,-27.679481,-48.673435999999995
171,User_250,-3.042294,-60.008405
172,User_5107,-23.583933,-46.603642
173,User_2324,-23.182814999999998,-45.88321
174,User_5513,-3.8357120000000005,-38.590887
175,User_5366,-20.701663,-47.01793
176,User_584,-23.536272,-46.46847
177,User_348,-15.895361999999999,-48.046554
178,User_5438,-23.522459,-46.533568
179,User_5300,-25.501082999999998,-49.256112
180,User_2191,-3.046402,-59.969903
181,User_3331,-3.970572,-45.665977000000005
182,User_2360,-7.220397,-35.88561
183,User_1063,-12.917349,-38.408449
184,User_1624,-21.763297,-43.34732
185,User_475,-3.1352990000000003,-60.023838
186,User_1199,-21.734942999999998,-43.327375
187,User_363,-22.811267,-43.189825
188,User_4029,-23.440332,-46.533421999999995
189,User_5452,-12.978739,-38.453876
190,User_2727,-20.011511,-45.97876
191,User_947,-30.157151000000002,-51.147458
192,User_1967,-20.075597,-44.579902000000004
193,User_5972,-26.997790999999996,-51.408481
194,User_438,-27.499963,-48.511295000000004
195,User_5975,-15.324499,-49.138192
196,User_3377,-23.552779,-46.456329
197,User_5553,-23.465856,-47.496408
198,User_1965,-23.582689000000002,-46.600678
199,User_5004,-22.872569,-42.335442
200,User_3946,-23.59169,-46.784001
201,User_2163,-21.1131,-45.831154999999995
202,User_2602,-23.48337,-46.633594
203,User_3797,-22.936971,-43.244717
204,User_3361,-3.7254419999999997,-38.701494
205,User_734,-1.456302,-48.434339
206,User_850,-23.116574,-45.700558
207,User_382,-20.529560999999998,-54.642365000000005
208,User_316,-25.439748,-49.222142
209,User_353,-20.35199,-40.376261
210,User_2268,-5.85271,-35.263319
211,User_3900,-12.925745,-38.379279
212,User_2665,-23.575938,-46.738123
213,User_1614,-21.774846,-43.370528
214,User_2882,-7.245294,-39.30552
215,User_2993,-27.002966999999998,-48.629701000000004
216,User_460,-21.616220000000002,-48.367045000000005
217,User_2782,-21.18178,-47.805479999999996
218,User_4557,-12.942138,-38.500221
219,User_1372,-3.8816900000000003,-38.612482
220,User_3541,-1.359543,-48.443404
221,User_2152,-19.624724,-43.225145
222,User_1445,-22.879916,-47.054652000000004
223,User_2666,-23.560801,-46.560246
